qId,qTextArr,qSpan,qText,speaker,addressee,qType,refExp,menTexts,menSpans,menEnts
Q71,"['I do not know what your opinion may be, Mrs. Weston,', 'of this great intimacy between Emma and Harriet Smith, but I\nthink it a bad thing.']","[[57630, 57682], [57705, 57787]]","I do not know what your opinion may be, Mrs. Weston, of this great intimacy between Emma and Harriet Smith, but I
think it a bad thing.",Mr. Knightley,['Mrs. Weston'],Explicit,said Mr Knightley,"[['Mrs. Weston'], ['Emma', 'Harriet Smith']]","[[[57670, 57681]], [[57736, 57740], [57745, 57758]]]","[[['Mrs. Weston']], [['Emma'], ['Harriet Smith']]]"
Q72,['A bad thing! Do you really think it a bad thing?--why so?'],"[[57791, 57848]]",A bad thing! Do you really think it a bad thing?--why so?,Mrs. Weston,['Mr. Knightley'],Implicit,,[['you']],"[[[57807, 57810]]]",[[['Mr. Knightley']]]
Q73,['I think they will neither of them do the other any good.'],"[[57852, 57908]]",I think they will neither of them do the other any good.,Mr. Knightley,['Mrs. Weston'],Implicit,,"[['they', 'them']]","[[[57860, 57864], [57881, 57885]]]","[[['Emma', 'Harriet Smith'], ['Emma', 'Harriet Smith']]]"
Q74,"['You surprize me! Emma must do Harriet good: and by supplying her with a\nnew object of interest, Harriet may be said to do Emma good. I have been\nseeing their intimacy with the greatest pleasure. How very differently\nwe feel!--Not think they will do each other any good! This will\ncertainly be the beginning of one of our quarrels about Emma, Mr.\nKnightley.']","[[57912, 58268]]","You surprize me! Emma must do Harriet good: and by supplying her with a
new object of interest, Harriet may be said to do Emma good. I have been
seeing their intimacy with the greatest pleasure. How very differently
we feel!--Not think they will do each other any good! This will
certainly be the beginning of one of our quarrels about Emma, Mr.
Knightley.",Mrs. Weston,['Mr. Knightley'],Implicit,,"[['You', 'Emma', 'Harriet', 'Harriet', 'Emma', 'their', 'we', 'they', 'Emma', 'Mr.\nKnightley']]","[[[57912, 57915], [57929, 57933], [57942, 57949], [58008, 58015], [58034, 58038], [58064, 58069], [58128, 58130], [58148, 58152], [58248, 58252], [58254, 58267]]]","[[['Mr. Knightley'], ['Emma'], ['Harriet Smith'], ['Harriet Smith'], ['Emma'], ['Emma', 'Harriet Smith'], ['Mrs. Weston', 'Mr. Knightley'], ['Emma', 'Harriet Smith'], ['Emma'], ['Mr. Knightley']]]"
Q75,"['Perhaps you think I am come on purpose to quarrel with you, knowing\nWeston to be out, and that you must still fight your own battle.']","[[58272, 58404]]","Perhaps you think I am come on purpose to quarrel with you, knowing
Weston to be out, and that you must still fight your own battle.",Mr. Knightley,['Mrs. Weston'],Implicit,,"[['you', 'you', 'Weston', 'you', 'your']]","[[[58280, 58283], [58327, 58330], [58340, 58346], [58367, 58370], [58388, 58392]]]","[[['Mrs. Weston'], ['Mrs. Weston'], ['Mr. Weston'], ['Mrs. Weston'], ['Mrs. Weston']]]"
Q76,"[""Mr. Weston would undoubtedly support me, if he were here, for he thinks\nexactly as I do on the subject. We were speaking of it only yesterday,\nand agreeing how fortunate it was for Emma, that there should be such a\ngirl in Highbury for her to associate with. Mr. Knightley, I shall not\nallow you to be a fair judge in this case. You are so much used to live\nalone, that you do not know the value of a companion; and, perhaps no\nman can be a good judge of the comfort a woman feels in the society of\none of her own sex, after being used to it all her life. I can imagine\nyour objection to Harriet Smith. She is not the superior young woman\nwhich Emma's friend ought to be. But on the other hand, as Emma wants\nto see her better informed, it will be an inducement to her to read more\nherself. They will read together. She means it, I know.""]","[[58408, 59245]]","Mr. Weston would undoubtedly support me, if he were here, for he thinks
exactly as I do on the subject. We were speaking of it only yesterday,
and agreeing how fortunate it was for Emma, that there should be such a
girl in Highbury for her to associate with. Mr. Knightley, I shall not
allow you to be a fair judge in this case. You are so much used to live
alone, that you do not know the value of a companion; and, perhaps no
man can be a good judge of the comfort a woman feels in the society of
one of her own sex, after being used to it all her life. I can imagine
your objection to Harriet Smith. She is not the superior young woman
which Emma's friend ought to be. But on the other hand, as Emma wants
to see her better informed, it will be an inducement to her to read more
herself. They will read together. She means it, I know.",Mrs. Weston,['Mr. Knightley'],Implicit,,"[['Mr. Weston', 'he', 'he', 'We', 'Emma', 'Mr. Knightley', 'you', 'You', 'you', 'your', 'Harriet Smith', 'She', 'Emma', 'Emma', 'her', 'her', 'They', 'She']]","[[[58408, 58418], [58452, 58454], [58470, 58472], [58512, 58514], [58589, 58593], [58667, 58680], [58700, 58703], [58737, 58740], [58778, 58781], [58978, 58982], [58996, 59009], [59011, 59014], [59053, 59057], [59106, 59110], [59124, 59127], [59173, 59176], [59199, 59203], [59224, 59227]]]","[[['Mr. Weston'], ['Mr. Weston'], ['Mr. Weston'], ['Mr. Weston', 'Mrs. Weston'], ['Emma'], ['Mr. Knightley'], ['Mr. Knightley'], ['Mr. Knightley'], ['Mr. Knightley'], ['Mr. Knightley'], ['Harriet Smith'], ['Harriet Smith'], ['Emma'], ['Emma'], ['Harriet Smith'], ['Emma'], ['Emma', 'Harriet Smith'], ['Emma']]]"
Q77,"['Emma has been meaning to read more ever since she was twelve years old.\nI have seen a great many lists of her drawing-up at various times of\nbooks that she meant to read regularly through--and very good lists\nthey were--very well chosen, and very neatly arranged--sometimes\nalphabetically, and sometimes by some other rule. The list she drew\nup when only fourteen--I remember thinking it did her judgment so much\ncredit, that I preserved it some time; and I dare say she may have made\nout a very good list now. But I have done with expecting any course of\nsteady reading from Emma. She will never submit to any thing\nrequiring industry and patience, and a subjection of the fancy to the\nunderstanding. Where Miss Taylor failed to stimulate, I may safely\naffirm that Harriet Smith will do nothing.--You never could persuade her\nto read half so much as you wished.--You know you could not.']","[[59249, 60136]]","Emma has been meaning to read more ever since she was twelve years old.
I have seen a great many lists of her drawing-up at various times of
books that she meant to read regularly through--and very good lists
they were--very well chosen, and very neatly arranged--sometimes
alphabetically, and sometimes by some other rule. The list she drew
up when only fourteen--I remember thinking it did her judgment so much
credit, that I preserved it some time; and I dare say she may have made
out a very good list now. But I have done with expecting any course of
steady reading from Emma. She will never submit to any thing
requiring industry and patience, and a subjection of the fancy to the
understanding. Where Miss Taylor failed to stimulate, I may safely
affirm that Harriet Smith will do nothing.--You never could persuade her
to read half so much as you wished.--You know you could not.",Mr. Knightley,['Mrs. Weston'],Implicit,,"[['Emma', 'she', 'her', 'she', 'she', 'her', 'she', 'Emma', 'She', 'Miss Taylor', 'Harriet Smith', 'You', 'her', 'you', 'You', 'you']]","[[[59249, 59253], [59295, 59298], [59355, 59358], [59401, 59404], [59582, 59585], [59641, 59644], [59716, 59719], [59825, 59829], [59831, 59834], [59957, 59968], [60015, 60028], [60047, 60050], [60072, 60075], [60100, 60103], [60113, 60116], [60122, 60125]]]","[[['Emma'], ['Emma'], ['Emma'], ['Emma'], ['Emma'], ['Emma'], ['Emma'], ['Emma'], ['Emma'], ['Mrs. Weston'], ['Harriet Smith'], ['Mrs. Weston'], ['Emma'], ['Mrs. Weston'], ['Mrs. Weston'], ['Mrs. Weston']]]"
Q78,"['I dare say,', ""that I thought so\n_then_;--but since we have parted, I can never remember Emma's omitting\nto do any thing I wished.""]","[[60140, 60151], [60184, 60299]]","I dare say, that I thought so
_then_;--but since we have parted, I can never remember Emma's omitting
to do any thing I wished.",Mrs. Weston,['Mr. Knightley'],Explicit,replied Mrs Weston,"[[], ['we', 'Emma']]","[[], [[60221, 60223], [60258, 60262]]]","[[], [['Emma', 'Mrs. Weston'], ['Emma']]]"
Q79,"['There is hardly any desiring to refresh such a memory as _that_,']","[[60303, 60367]]","There is hardly any desiring to refresh such a memory as _that_,",Mr. Knightley,['Mrs. Weston'],Explicit,said Mr Knightley,[[]],[[]],[[]]
Q80,"['But I,', ""who have had no such charm thrown over my senses, must\nstill see, hear, and remember. Emma is spoiled by being the cleverest\nof her family. At ten years old, she had the misfortune of being able to\nanswer questions which puzzled her sister at seventeen. She was always\nquick and assured: Isabella slow and diffident. And ever since she\nwas twelve, Emma has been mistress of the house and of you all. In her\nmother she lost the only person able to cope with her. She inherits her\nmother's talents, and must have been under subjection to her.""]","[[60439, 60445], [60464, 61004]]","But I, who have had no such charm thrown over my senses, must
still see, hear, and remember. Emma is spoiled by being the cleverest
of her family. At ten years old, she had the misfortune of being able to
answer questions which puzzled her sister at seventeen. She was always
quick and assured: Isabella slow and diffident. And ever since she
was twelve, Emma has been mistress of the house and of you all. In her
mother she lost the only person able to cope with her. She inherits her
mother's talents, and must have been under subjection to her.",Mr. Knightley,['Mrs. Weston'],Anaphoric,he soon added,"[[], ['Emma', 'her', 'she', 'her sister', 'She', 'Isabella', 'Emma', 'you all', 'her', 'she', 'her', 'She', 'her', 'her']]","[[], [[60550, 60554], [60592, 60595], [60622, 60625], [60693, 60703], [60718, 60721], [60752, 60760], [60812, 60816], [60855, 60862], [60867, 60870], [60878, 60881], [60921, 60924], [60926, 60929], [60939, 60942], [61000, 61003]]]","[[], [['Emma'], ['Emma'], ['Emma'], ['Isabella'], ['Emma'], ['Isabella'], ['Emma'], ['Isabella', 'Mr. Woodhouse', 'Mrs. Weston'], ['Emma'], ['Emma'], ['Emma'], ['Emma'], ['Emma'], ['Emma']]]"
